id,question_en,answer_en,question_te,answer_te
faq15,What should I do if the navigation is not loading?,"Check your GPS permissions or restart the app. Offline mode will still show cached safe zones.",నావిగేషన్ పనిచేయకపోతే ఏమి చేయాలి?,"GPS అనుమతులు చెక్ చేయండి లేదా యాప్ రీస్టార్ట్ చేయండి. ఆఫ్‌లైన్‌లో కూడా సేవ్ చేసిన ప్రాంతాలు కనిపిస్తాయి."
faq16,Can I report fake news?,"Yes. Go to the 'Report' section and submit the message you suspect as fake.",ఫేక్ న్యూస్‌ను రిపోర్ట్ చేయవచ్చా?,"అవును, 'Report' విభాగంలో నకిలీ వార్తను సమర్పించండి."
faq17,How can I know which areas are safe now?,"The navigation map uses local data to mark danger-free zones in green.",ప్రస్తుతం సురక్షిత ప్రాంతాలు ఏవి అని ఎలా తెలుసుకోవాలి?,"నావిగేషన్ మ్యాప్‌లో పచ్చ రంగులో సురక్షిత ప్రాంతాలు చూపిస్తాయి."
faq18,Can I access help materials offline?,"Yes, emergency procedures, safety tips, and FAQs are stored offline.",ఆఫ్‌లైన్‌లో సహాయక సమాచారం చూడవచ్చా?,"అవును, అత్యవసర సూచనలు మరియు సమాచారం ఆఫ్‌లైన్‌లో అందుబాటులో ఉంటాయి."
faq19,How can I learn first aid?,"Go to the 'First Aid' section for offline tutorials and step-by-step guidance.",ఫస్ట్ ఎయిడ్ ఎలా నేర్చుకోవాలి?,"'First Aid' విభాగంలో ఉన్న సూచనలు చదవండి."
faq20,Can I share this app with others?,"Yes, you can share the APK or QR code from the app's share section.",ఈ యాప్‌ను ఇతరులతో షేర్ చేయవచ్చా?,"అవును, APK లేదా QR కోడ్ ద్వారా యాప్‌ను షేర్ చేయవచ్చు."
faq21,What should I do if the app crashes?,"Restart the app and ensure you have enough storage. It works offline so no internet is needed.",యాప్ క్రాష్ అయితే ఏమి చేయాలి?,"యాప్ రీస్టార్ట్ చేయండి మరియు ఫోన్‌లో స్థలం ఉందో చూడండి."
faq22,What should I do during a flood?,"Move to higher ground, avoid floodwaters, and disconnect electrical appliances.",వరద సమయంలో ఏమి చేయాలి?,"ఎత్తైన ప్రదేశాలకు వెళ్ళండి, నీటిలోకి వెళ్ళవద్దు, విద్యుత్ పరికరాలను ఆఫ్ చేయండి."
faq23,How can I help others in an emergency?,"Call emergency numbers or guide them using safe navigation routes.",అత్యవసర పరిస్థితుల్లో ఇతరులకు ఎలా సహాయం చేయాలి?,"ఎమర్జెన్సీ నంబర్‌కి కాల్ చేయండి లేదా సురక్షిత మార్గాలను చూపండి."
faq24,How can I store emergency contacts?,"Use the 'Emergency Contacts' section to save family and rescue numbers.",ఎమర్జెన్సీ కాంటాక్ట్స్‌ని ఎలా సేవ్ చేయాలి?,"'ఎమర్జెన్సీ కాంటాక్ట్స్' విభాగంలో ఫ్యామిలీ మరియు రెస్క్యూ నంబర్‌లు సేవ్ చేయండి."
faq25,How do I prepare for an earthquake?,"Keep a safety kit ready, stay away from windows, and take cover under sturdy furniture.",భూకంపం సమయంలో ఏమి చేయాలి?,"సేఫ్టీ కిట్ సిద్ధంగా ఉంచండి, కిటికీలకు దూరంగా ఉండండి, టేబుల్ కింద దాక్కోండి."
faq26,How to act during a fire accident?,"Stay low to avoid smoke, use a wet cloth to breathe, and exit through safe routes.",అగ్ని ప్రమాదం సమయంలో ఏమి చేయాలి?,"పొగను నివారించడానికి నేలకింద ఉండండి, తడి గుడ్డతో శ్వాసించండి, సురక్షిత మార్గాల ద్వారా బయటకు రండి."
faq27,What is the SOS button for?,"The SOS button immediately alerts emergency contacts with your location.",SOS బటన్ ఎందుకు ఉపయోగిస్తారు?,"SOS బటన్ నొక్కిన వెంటనే మీ లొకేషన్‌తో ఎమర్జెన్సీ కాంటాక్ట్స్‌కి అలర్ట్ పంపుతుంది."
faq28,Can I use voice commands to navigate?,"Yes, you can use simple voice commands like 'Find nearest shelter' or 'Show safe path'.",వాయిస్ కమాండ్స్ ఉపయోగించి నావిగేట్ చేయవచ్చా?,"అవును, 'సమీప ఆశ్రయం చూపించు' వంటి వాయిస్ కమాండ్స్ ఉపయోగించండి."
faq29,How do I detect fake social media alerts?,"Cross-check with verified government handles and avoid unverified forwards.",ఫేక్ సోషల్ మీడియా మెసేజెస్‌ను ఎలా గుర్తించాలి?,"ప్రభుత్వ అధికారిక పేజీలతో చెక్ చేయండి, అప్రూవ్ కాని ఫార్వర్డ్‌లను దూరంగా ఉంచండి."
faq30,Can I get first aid guidance from chatbot?,"Yes, type or say 'first aid for burn' or 'snake bite', and it gives step-by-step help.",చాట్‌బాట్ ద్వారా ఫస్ట్ ఎయిడ్ సమాచారం పొందవచ్చా?,"అవును, 'గాయం ఫస్ట్ ఎయిడ్' అని అడగండి, స్టెప్ బై స్టెప్ సూచనలు వస్తాయి."
faq31,How can I add new shelters to the map?,"Admins can add new shelters from the Admin Dashboard.",కొత్త ఆశ్రయాలను మ్యాప్‌లో ఎలా చేర్చాలి?,"అడ్మిన్ డ్యాష్‌బోర్డ్ ద్వారా కొత్త ఆశ్రయాలు చేర్చవచ్చు."
faq32,What are safe routes?,"Safe routes avoid hazards like floods, blocked roads, and restricted zones.",సేఫ్ రూట్స్ అంటే ఏమిటి?,"సేఫ్ రూట్స్ అంటే ప్రమాదాల నుంచి దూరంగా ఉండే మార్గాలు."
faq33,Can the app work without GPS?,"Yes, it can use your last known location if GPS is off.",GPS లేకుండా యాప్ పనిచేస్తుందా?,"అవును, చివరి లొకేషన్ ఆధారంగా యాప్ పనిచేస్తుంది."
faq34,How often is hazard data updated?,"Hazard data updates every 5 minutes from local admin sources.",ప్రమాద సమాచారం ఎంత తరచుగా అప్‌డేట్ అవుతుంది?,"ప్రతి 5 నిమిషాలకు స్థానిక డేటా ఆధారంగా అప్‌డేట్ అవుతుంది."
faq35,Can I get weather alerts?,"Yes, you can see weather updates and warnings under the Alerts section.",వాతావరణ హెచ్చరికలు అందుతాయా?,"అవును, 'అలర్ట్స్' విభాగంలో వాతావరణ హెచ్చరికలు కనిపిస్తాయి."
faq36,What should I pack in a safety kit?,"Include torch, batteries, first aid, water, food, and important documents.",సేఫ్టీ కిట్‌లో ఏమి ఉంచాలి?,"టార్చ్, బ్యాటరీలు, ఫస్ట్ ఎయిడ్, నీరు, ఆహారం, డాక్యుమెంట్స్ ఉంచండి."
faq37,How to contact authorities quickly?,"Use the emergency contact section or dial 108 for medical help.",ప్రభుత్వ అధికారులను త్వరగా ఎలా సంప్రదించాలి?,"ఎమర్జెన్సీ కాంటాక్ట్ విభాగాన్ని ఉపయోగించండి లేదా 108 కి కాల్ చేయండి."
faq38,Can I use chatbot in Telugu?,"Yes! The chatbot automatically detects Telugu and responds in Telugu.",తెలుగులో చాట్‌బాట్ ఉపయోగించవచ్చా?,"అవును! చాట్‌బాట్ ఆటోమేటిక్‌గా తెలుగు గుర్తించి సమాధానం ఇస్తుంది."
faq39,Can I ask chatbot about flood alerts?,"Yes, ask 'Is there a flood nearby?' and it will respond with local alerts.",వరద హెచ్చరికల గురించి అడగవచ్చా?,"అవును, 'ఇక్కడ వరద ఉందా?' అని అడిగితే సమాధానం వస్తుంది."
faq40,How can I update my profile?,"Go to settings > profile and update your details.",నా ప్రొఫైల్ వివరాలను ఎలా మార్చాలి?,"సెట్టింగ్స్ > ప్రొఫైల్‌లోకి వెళ్లి వివరాలు అప్‌డేట్ చేయండి."
faq41,Can I connect this app with other rescue apps?,"Yes, integration options will be available in future updates.",ఇతర యాప్స్‌తో కనెక్ట్ చేయవచ్చా?,"అవును, భవిష్యత్ అప్‌డేట్‌లలో ఇది అందుబాటులో ఉంటుంది."
faq42,How to verify chatbot answers?,"Each answer is based on a verified knowledge base and can be manually cross-checked.",చాట్‌బాట్ సమాధానాలను ఎలా నిర్ధారించాలి?,"అన్ని సమాధానాలు ధృవీకరించిన డేటా ఆధారంగా ఉంటాయి."
faq43,Can I reset my navigation data?,"Yes, go to settings > clear navigation history.",నావిగేషన్ డేటాను రీసెట్ చేయవచ్చా?,"అవును, సెట్టింగ్స్ > హిస్టరీ క్లియర్ ఆప్షన్ ఉపయోగించండి."
faq44,How to identify safe buildings?,"Look for green-labeled shelters on the map.",సురక్షిత భవనాలను ఎలా గుర్తించాలి?,"మ్యాప్‌లో గ్రీన్ లేబుల్ ఉన్న భవనాలు సురక్షితమైనవి."
faq45,Can I share chatbot responses?,"Yes, click on any response and select 'Share'.",చాట్‌బాట్ సమాధానాలను షేర్ చేయవచ్చా?,"అవును, సమాధానంపై క్లిక్ చేసి 'షేర్' ఆప్షన్ ఉపయోగించండి."
faq46,How to recover password?,"Go to login screen and click on 'Forgot Password'.",పాస్‌వర్డ్ మర్చిపోయినప్పుడు ఏమి చేయాలి?,"లాగిన్ స్క్రీన్‌లో 'పాస్‌వర్డ్ మర్చిపోయారా?' ఆప్షన్ ఎంచుకోండి."
faq47,How does fake news detection work?,"It checks your message against verified databases and machine learning models.",ఫేక్ న్యూస్ డిటెక్షన్ ఎలా పనిచేస్తుంది?,"ఇది మెషీన్ లెర్నింగ్ మోడల్స్ మరియు ధృవీకరించిన డేటా ఆధారంగా పనిచేస్తుంది."
faq48,What should I do if chatbot is not responding?,"Check your internet or restart the app; offline mode supports Q&A.",చాట్‌బాట్ పనిచేయకపోతే ఏమి చేయాలి?,"ఇంటర్నెట్ చెక్ చేయండి లేదా యాప్ రీస్టార్ట్ చేయండి."
faq49,How do I contact app support?,"Use 'Help & Support' from settings or email the support team.",యాప్ సపోర్ట్‌ను ఎలా సంప్రదించాలి?,"సెట్టింగ్స్‌లోని 'హెల్ప్ & సపోర్ట్' ఆప్షన్ ఉపయోగించండి లేదా ఇమెయిల్ చేయండి."
faq50,Can I switch between chatbot and navigation easily?,"Yes, from the dashboard you can toggle between chatbot and navigation anytime.",చాట్‌బాట్ మరియు నావిగేషన్ మధ్య సులభంగా మారవచ్చా?,"అవును, డ్యాష్‌బోర్డ్‌లోని బటన్‌ల ద్వారా మీరు ఎప్పుడైనా మారవచ్చు."
faq51, What are the emergency contacts?,"100 for police , 108 for doctor , 101 for fire , 6304807399 is your nearest safe house contact , 1078 for disaster management.",అత్యవసర సంప్రదింపు నంబర్లు ఏమిటి?,"పోలీసులకు 100, వైద్యుడికి 108, అగ్నిమాపక సేవలకు 101, 6304807399 మీ దగ్గరి సేఫ్ హౌస్ కాంటాక్ట్, విపత్తు నిర్వహణకు 1078."
